id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Concrete;2019-12-24T09:11:29;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2019-12-23T21:04:11;75071
2;Rhode Island bypassing SQL;2019-12-23T23:59:33;Frozen online streamline;ISSUED;CREDIT_CARD;2019-12-24T15:46:39;68011
3;lime program;2019-12-23T19:14:36;parse Horizontal Shirt;ISSUED;PAYPAL;2019-12-23T20:05:09;82892
4;Buckinghamshire Director Gloves;2019-12-23T23:45:19;Malagasy Ariary Dynamic;CANCELLED;CREDIT_CARD;2019-12-23T16:20:20;33894
5;attitude-oriented;2019-12-24T02:13:27;Integration structure;CANCELLED;PAYPAL;2019-12-24T04:20:57;72584
6;Internal Licensed Steel Towels RSS;2019-12-24T08:49:37;Chips;PAID;CREDIT_CARD;2019-12-24T09:45:17;90614
7;Toys Cotton;2019-12-24T01:18:58;Small Rubber Pants Brand Savings Account;ISSUED;CASH_ON_DELIVERY;2019-12-23T23:02:22;42722
8;Arizona Barbados Dollar;2019-12-24T09:48:40;tan Cambridgeshire Rubber;ISSUED;CREDIT_CARD;2019-12-24T06:52:08;44406
9;Generic Ethiopian Birr Assurance;2019-12-23T22:17:31;Arizona navigating navigating;ISSUED;CASH_ON_DELIVERY;2019-12-24T06:13:01;93110
10;Concrete;2019-12-24T15:01:17;paradigms system;PAID;CREDIT_CARD;2019-12-23T17:27:29;93817
