id;tracking_code;date;details;invoice_id
1;Mouse withdrawal;2019-12-23T17:22:14;payment unleash Jamaican Dollar;1
2;Rest;2019-12-24T12:38:44;Plains;2
3;Quality Plastic plum;2019-12-23T16:59:06;Minnesota parsing;3
4;Gorgeous Soft Hat Generic;2019-12-24T13:26:18;Architect SSL;4
5;zero tolerance;2019-12-24T10:22:37;user-facing CSS;5
6;ADP Ouguiya;2019-12-24T06:19:05;Garden;6
7;auxiliary;2019-12-24T14:35:05;functionalities Bedfordshire withdrawal;7
8;Data;2019-12-23T17:33:06;Viaduct hybrid;8
9;mesh;2019-12-24T15:58:45;human-resource Shoes Wooden;9
10;calculate value-added Metal;2019-12-24T13:57:39;Re-engineered withdrawal Ball;10
