id;placed_date;status;code;invoice_id;customer_id
1;2019-12-24T07:59:01;COMPLETED;Georgia calculate withdrawal;88795;1
2;2019-12-24T07:35:46;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2019-12-23T16:52:54;COMPLETED;real-time;88753;3
4;2019-12-24T00:57:03;COMPLETED;Square Regional;82542;4
5;2019-12-24T06:48:11;PENDING;maroon Decentralized Bike;98183;5
6;2019-12-23T23:11:53;COMPLETED;program;52549;6
7;2019-12-24T13:27:48;COMPLETED;target;30578;7
8;2019-12-24T11:35:54;CANCELLED;input;43284;8
9;2019-12-24T12:01:56;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2019-12-24T13:07:01;COMPLETED;National lavender;4674;10
